Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
363,RESOLUTION,END,Dry Firewood Is Found,Examine what you found closely enough to make use of the clue.,"Beneath the cart and nearby cover, you find enough dry firewood to rebuild the fire and still keep a small usable bundle for later.",DRY_KINDLING_SEARCHED,-,-,RESOURCE_SMALL_GAIN
364,RESOLUTION,END,No Dry Kindling Can Be Found,"Wait a little longer, then accept that no clearer answer is coming.","You search beneath the cart, shelter, and nearby cover, but everything you find is too damp to burn. You return to the fire without usable kindling.",DRY_KINDLING_SEARCHED,-,-,-
365,RESPONSE,RESOLUTION,Reinforce the Shelter Instead of Replacing the Rope,Brace the damaged section with available materials rather than relying on the broken rope.,You brace the damaged section with available materials rather than relying on the broken rope.,SHELTER_DAMAGED,SHELTER_REINFORCED,-,-
366,RESOLUTION,END,The Reinforced Shelter Holds,Trust the repair and wait through the remaining danger.,"The extra braces steady the damaged section. It continues to strain in the wind, but the shelter remains standing through the worst of the storm.",SHELTER_REINFORCED,-,-,DANGER_AVOIDED
367,RESOLUTION,END,The Reinforcement Starts to Slip,Rely on the temporary fix and avoid disturbing it further.,"The improvised braces hold for a while, but the wet ground and strong wind slowly loosen them. The shelter remains usable, though it will need proper repair.",SHELTER_REINFORCED,-,-,-
368,RESPONSE,RESOLUTION,Move the Most Valuable Goods Under Shelter,Prioritize the most valuable cargo and move it into the driest part of the camp.,You prioritize the most valuable cargo and move it into the driest part of the camp.,CARGO_WET_RISK,VALUABLE_CARGO_MOVED,-,-
369,RESOLUTION,END,The Valuable Cargo Stays Dry,Trust the repair and wait through the remaining danger.,"Moving the most valuable goods under the driest part of the shelter works. The rain reaches the outer cargo, but the items you prioritized remain protected.",VALUABLE_CARGO_MOVED,-,-,DANGER_AVOIDED
370,RESOLUTION,END,Only the Most Valuable Goods Stay Dry,Rely on the temporary fix and avoid disturbing it further.,"You protect the most valuable goods, but there is not enough dry space for everything. Some less important cargo remains exposed to the rain.",VALUABLE_CARGO_MOVED,-,-,CARGO_SMALL_LOSS
371,RESPONSE,RESOLUTION,Inspect the Shelter One More Time,Check the reinforced shelter carefully before trusting it for the rest of the storm.,You check the reinforced shelter carefully before trusting it for the rest of the storm.,SHELTER_STABLE,SHELTER_RECHECKED,-,-
372,RESOLUTION,END,The Shelter Inspection Finds the Weak Point,Examine what you found closely enough to make use of the clue.,"Your final inspection reveals where the strain is concentrated. The reinforcement is holding, but you now know which support needs proper repair when the storm is over.",SHELTER_RECHECKED,-,-,-
373,RESOLUTION,END,The Shelter Check Finds No New Problem,"Wait a little longer, then accept that no clearer answer is coming.","You inspect every rope, brace, and weak point once more. Nothing has worsened, and the reinforced shelter appears stable enough for the rest of the storm.",SHELTER_RECHECKED,-,-,-
374,RESOLUTION,END,The Traveller Pays for Your Hospitality,Give the person a moment to respond to your decision.,"Before leaving, the traveller thanks you for sharing the safety and warmth of your camp and leaves a few coins behind.",TRAVELLER_INVITED,-,-,COINS_SMALL_GAIN
375,RESOLUTION,END,The Traveller Leaves a Quiet Warning,Give the person a moment to respond to your decision.,"The traveller accepts your decision and turns away from the fire. Before leaving, they quietly warn you that the road ahead has been unsettled after dark.",TRAVELLER_SENT_AWAY,-,-,-
376,RESOLUTION,END,The Merchant Pays for Your Help,Give the person a moment to respond to your decision.,"Grateful for the directions, the merchant presses a few coins into your hand before continuing toward the road.",MERCHANT_DIRECTED,-,-,COINS_SMALL_GAIN
377,RESOLUTION,END,The Stranger Leaves Without Argument,Give the person a moment to respond to your decision.,"The stranger studies you for a moment, then decides not to test your warning. They back away slowly and disappear into the darkness.",STRANGER_WARNED,-,-,-
378,RESOLUTION,END,The Strangers Are Passing Travellers,Give the person a moment to respond to your decision.,"By observing a little longer, you realize the group is only trying to decide which road to take. They eventually move on without approaching your camp.",STRANGERS_OBSERVED,-,-,-
379,RESOLUTION,END,Useful Supplies Are Found,Follow through with your decision to search the Abandoned Belongings.,Beneath the abandoned belongings you uncover one bulky trade good that appears to have been left behind when the campsite was deserted.,BELONGINGS_SEARCHED,-,-,RESOURCE_BIG_GAIN
380,RESOLUTION,END,The Stranger Offers No Explanation,Give the person a moment to respond to your decision.,"When you challenge them about knowing your name, the stranger refuses to explain. They step back into the darkness and leave before you can learn more.",NAME_MYSTERY_CHALLENGED,-,-,-
381,RESOLUTION,END,The Returned Signal Leads to an Empty Road,Follow through with your decision to follow the Returned Light Signal.,"You follow the direction of the returned light, but reach only an empty stretch of road. Whoever signalled has already moved on, leaving no clear trace behind.",LIGHT_SIGNAL_FOLLOWED,-,-,-
382,RESOLUTION,END,A Dropped Bundle Lies Beyond the Lantern,Follow through with your decision to search Beyond the Extinguished Lantern.,Searching beyond the extinguished lantern turns up a small dropped bundle of trade goods before the trail goes cold.,LANTERN_TRAIL_SEARCHED,-,-,RESOURCE_SMALL_GAIN
383,RESOLUTION,END,The Vanished Light Leaves Fresh Tracks,Follow through with your decision to follow Where the Light Vanished.,"You search where the light disappeared and find fresh tracks leading toward the road. The person carrying the light is gone, but the signs confirm that the light was real.",VANISHED_LIGHT_FOLLOWED,-,-,-
384,RESOLUTION,END,The Thief Gets Away,Continue the attempt a little longer before deciding whether to stop.,"Despite your response, the thief finds an opening and escapes into the darkness before the encounter can develop further.",THIEF_ALLOWED_ESCAPE,-,-,CARGO_SMALL_LOSS
385,RESOLUTION,END,A Small Item Was Lost Before the Repair,Secure what you can and accept that some cargo remains exposed.,"The damaged bag is secure now, but your inspection shows that one small item slipped out before you completed the repair.",CARGO_REPAIRED,-,-,CARGO_SMALL_LOSS
386,RESOLUTION,END,"The Remaining Cargo Is Secure, but Something Is Missing",Secure what you can and accept that some cargo remains exposed.,You tighten every strap and secure what remains. Only afterward do you notice that one small item must have fallen out during the earlier disturbance.,CARGO_FULLY_SECURED,-,-,CARGO_SMALL_LOSS
387,RESOLUTION,END,The Cargo Watcher Took Something Before Leaving,Secure what you can and accept that some cargo remains exposed.,"The watcher backs away after being confronted, but a quick check shows that they managed to take one small item before you noticed them.",CARGO_WATCHER_CONFRONTED,-,-,CARGO_SMALL_LOSS
388,RESOLUTION,END,The Animal Becomes Curious,Hold your position and watch how the animal responds.,"You stay still and observe. Instead of leaving, the animal cautiously edges closer to the firelight, sniffing the air before finally deciding to move on.",ANIMAL_OBSERVED,-,-,-
389,RESOLUTION,END,The Animal Takes the Food and Keeps Its Distance,Stay back and watch what the animal does with the food.,"The animal takes the food but keeps its distance from your cargo and bedroll, eventually retreating into the darkness.",ANIMAL_FED,-,-,-
390,RESOLUTION,END,The Animal Watches You Retreat,Hold your position and watch how the animal responds.,"You give the animal space and move back toward camp. It watches your retreat but does not follow, eventually turning away on its own.",ANIMAL_AVOIDED,-,-,-
391,RESOLUTION,END,The Animal Tests Another Side of the Cargo,Hold your position and watch how the animal responds.,"Blocked from the supplies, the animal circles once and searches for another opening. Finding none, it loses interest and moves away.",ANIMAL_CARGO_DEFENDED,-,-,-
392,RESOLUTION,END,The Injured Animal Struggles Away,Hold your position and watch how the animal responds.,"You leave the injured animal undisturbed. After resting for a while, it manages to stand and limp away from the edge of camp.",INJURED_ANIMAL_LEFT,-,-,-
393,RESOLUTION,END,The Animal Waits Beyond the Fire,Hold your position and watch how the animal responds.,"The stronger flames keep the animal at a distance. It lingers beyond the light for a while, then finally gives up and disappears.",ANIMAL_HELD_BY_FIRE,-,-,-
394,RESOLUTION,END,The Retreating Animal Stops Once More,Hold your position and watch how the animal responds.,The animal pauses at the edge of sight and looks back toward camp. After a tense moment it continues away and does not return.,ANIMAL_RETREAT_CONFIRMED,-,-,-
395,RESOLUTION,END,The Fire Stays Weak Despite the Protected Embers,Rely on the temporary fix and avoid disturbing it further.,"Your effort preserves some heat, but the fire never grows strong again. You finish the night with only a weak glow for warmth and light.",FIRE_RESTORED,-,-,TIME_1H_LOSS
396,RESOLUTION,END,The Reserved Fuel Burns Too Quickly,Hold your ground and wait.,"The protected fuel catches easily and restores the flames, but there is less of it than expected. The fire burns strongly for a short time before settling back to a weak glow.",FIRE_RESTORED,-,-,-
397,RESOLUTION,END,Giving Up Leaves Only a Faint Glow,Rely on the temporary fix and avoid disturbing it further.,"Once you stop trying to rebuild the fire, the remaining embers continue to fade. A faint glow survives for a while, but it provides little warmth.",FIRE_ABANDONED,-,-,TIME_1H_LOSS
398,RESOLUTION,END,The Repaired Shelter Barely Holds,Rely on the temporary fix and avoid disturbing it further.,"The replaced rope keeps the shelter standing, but every strong gust pulls the repair tight. It survives the storm, though only just.",SHELTER_REPAIRED,-,-,-
399,RESOLUTION,END,Some Outer Cargo Still Gets Wet,Secure what you can and accept that some cargo remains exposed.,"You secure the exposed goods as quickly as possible, but rain reaches a small part of the outer cargo before everything can be moved under cover.",CARGO_RAIN_SECURED,-,-,CARGO_SMALL_LOSS
400,RESOLUTION,END,The Higher Ground Is Difficult but Safe,Follow through with your decision to move the Camp to Higher Ground.,"Moving the camp is slow and awkward in the storm, but the new ground stays above the rising water and gives you a safe place to finish the night.",CAMP_MOVED_HIGHER,-,-,-
401,RESOLUTION,END,You Escape the Flood but Lose Some Cargo,Keep moving away from the flooded campsite until the immediate weather danger has passed.,"You abandon the campsite before the water traps you. In the hurried departure, one small piece of cargo is lost to the mud and darkness.",CAMP_ABANDONED,-,-,CARGO_SMALL_LOSS
402,RESOLUTION,END,Waiting Out the Storm Costs Rest,Stay sheltered and wait to see whether the storm causes another problem.,"The shelter remains safe, but the storm takes a long time to weaken. By the time you can settle properly again, part of the night has been lost.",STORM_WAITED_OUT,-,-,TIME_1H_LOSS
403,RESOLUTION,END,"The Patch Holds, but Some Cargo Is Already Wet",Secure what you can and accept that some cargo remains exposed.,"Your patch stops most of the rain, but a small amount of cargo was soaked before you could seal the torn cover.",CARGO_COVER_REPAIRED,-,-,CARGO_SMALL_LOSS
404,RESOLUTION,END,"The Shelter Survives, but the Night Is Uncomfortable",Rely on the temporary fix and avoid disturbing it further.,"The shelter remains standing, but the strained supports creak through every gust. You stay dry enough, though the rest of the night is uneasy.",SHELTER_TRUSTED,-,-,-
405,RESOLUTION,END,Something Was Left Behind,Follow through with your decision to return to Rest After Finding Nothing.,"You turn back toward the fire after finding no clear source for the disturbance. Near the edge of camp, however, you notice a small bundle that seems to have been dropped in the darkness.",MYSTERY_ABANDONED,-,-,RESOURCE_SMALL_GAIN
406,RESOLUTION,END,A Late Traveller Finally Steps Forward,Wait a little longer and see whether the unseen person reveals themselves.,"Just as you are about to give up waiting, a cautious traveller finally steps into view. They explain that they were unsure whether the camp was safe and, before leaving, mention a useful trade condition on the road ahead.","MYSTERY_WAITED, HUMAN_POSSIBLE",-,-,MARKET_TIP
407,RESOLUTION,END,The Warning Ends Without Conflict,Follow through with your decision to respect the Warning.,"You respect the warning and keep your distance. After several tense moments, the unseen person withdraws and the area around camp becomes quiet again.",WARNING_RESPECTED,-,-,DANGER_AVOIDED
408,REVEAL,RESPONSE,The Whispering Continues,Remain by the fire and listen to the whispering.,"You remain beside the fire as the quiet voices continue somewhere beyond the light. After a moment, it becomes clear that more than one person is speaking.","WAITING_AT_FIRE, WHISPERS_HEARD","HUMAN_CONFIRMED, MULTIPLE_PEOPLE",UNKNOWN_SOURCE,-
409,REVEAL,RESPONSE,The Voices Suddenly Stop,Stay by the fire and listen for any sign that the voices are still nearby.,"You wait beside the fire, but the whispering abruptly stops. No one approaches, and the darkness around the camp becomes quiet again.","WAITING_AT_FIRE, WHISPERS_HEARD","NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
410,REVEAL,RESPONSE,A Figure Moves Closer to the Firelight,Stay in the firelight and watch the nearby figure.,"After several tense moments, a lone figure moves closer to the camp but stops just beyond the edge of the firelight.","WAITING_AT_FIRE, HUMAN_POSSIBLE","HUMAN_CONFIRMED, PERSON_NEARBY",UNKNOWN_SOURCE,-
411,REVEAL,RESPONSE,Movement Circles Beyond the Firelight,Track the movement from beside the fire.,"You stay beside the fire and wait. After a while, faint movement circles beyond the light without coming any closer.","WAITING_AT_FIRE, MOVEMENT_HEARD","NO_SOURCE_FOUND, SOURCE_FLED_POSSIBLE",UNKNOWN_SOURCE,-
412,REVEAL,RESPONSE,Another Cry Comes from the Darkness,Stay put and listen for the voice again.,"You remain beside the fire until another distant cry carries through the night, confirming that someone or something is still out there.","WAITING_AT_FIRE, VOICE_HEARD","DISTRESS_CONFIRMED, VOICE_LOCATED",UNKNOWN_SOURCE,-
413,REVEAL,RESPONSE,The Fire Sinks to Embers,Keep waiting while watching the weakening fire.,You stay beside the fire and watch the weak flames sink lower until only a bed of glowing embers remains.,"WAITING_AT_FIRE, FIRE_LOW",EMBERS_USABLE,-,-
414,REVEAL,RESPONSE,The Strange Light Reappears,Watch for the strange light to appear again.,"You remain beside the fire, and after a tense wait the distant light appears again between the trees.","WAITING_AT_FIRE, LIGHT_SEEN",LIGHT_SIGNAL_RETURNED,UNKNOWN_SOURCE,-
415,REVEAL,RESPONSE,An Animal Lingers Beyond the Camp,Keep watch for the animal from the camp.,"You stay beside the fire until a shape moves at the edge of the darkness, revealing that an animal has remained nearby.","WAITING_AT_FIRE, ANIMAL_SOUND","ANIMAL_CONFIRMED, ANIMAL_WATCHING, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
416,REVEAL,RESPONSE,Nothing Comes Closer to the Fire,Wait a little longer beside the fire.,"You remain beside the fire and wait, but the unknown presence that disturbed the night never comes close enough to reveal itself.","WAITING_AT_FIRE, UNKNOWN_SOURCE","NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
417,REVEAL,RESPONSE,The Torch Reveals No Clear Source,Sweep the torchlight over the area once more.,"The torchlight reaches across the nearby ground, but nothing obvious remains within sight.",TORCH_LIT,NO_SOURCE_FOUND,UNKNOWN_SOURCE,-
418,REVEAL,RESPONSE,No Second Cry Comes,Keep listening for another cry before deciding the voice is gone.,"You listen carefully for another call, but the night stays silent and gives you no clearer direction.",LISTENING_FOR_VOICE,"NO_SOURCE_FOUND, SILENCE",-,-
419,REVEAL,RESPONSE,The Footsteps Do Not Return,Wait quietly for the footsteps to return.,"You wait for the footsteps to begin again, but the area around the camp becomes completely still.",LISTENING_FOR_FOOTSTEPS,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
420,REVEAL,RESPONSE,No Signal Answers Your Torch,Hold the torch signal a little longer and watch for an answer.,"You hold the torch high and wait, but no light answers from the darkness.",SIGNALLED_LIGHT,"NO_SOURCE_FOUND, SILENCE",-,-
421,REVEAL,RESPONSE,The Distant Light Fades Away,Keep watching the distant light until it disappears from view.,You watch from the safety of the camp until the distant light slowly disappears between the trees.,OBSERVING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",UNKNOWN_SOURCE,-
422,REVEAL,RESPONSE,Nothing Approaches the Guarded Cargo,Keep guarding the cargo and wait.,"You keep watch over the supplies, but no one comes close enough to threaten the cargo again.",CARGO_GUARDED,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
423,REVEAL,RESPONSE,A Lone Animal Moves Near the Camp,Stay still and watch the lone animal at the edge of the camp.,A single shape moves through the darkness near the camp before hesitating at the edge of the firelight.,ANIMAL_LISTENING,"ANIMAL_CONFIRMED, ANIMAL_WATCHING, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
424,REVEAL,RESPONSE,The Animal Holds Its Ground,Keep making noise and watch whether the animal retreats or stands its ground.,"The noise makes the animal pause, but instead of fleeing it remains just beyond the firelight.",ANIMAL_SCARE_ATTEMPT,"ANIMAL_CONFIRMED, LARGE_ANIMAL, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
425,REVEAL,RESPONSE,A Larger Animal Finds the Bait,Stay back and watch what approaches the bait.,"Movement approaches the food, but the shape that emerges is larger than you expected.",ANIMAL_BAIT_SET,"ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE,-
426,REVEAL,RESPONSE,The Remaining Fuel Is Soaked,Check whether any usable fuel remains after protecting the embers.,"You protect the last heat from the wind, but most of the nearby fuel has already become too wet to burn easily.",FIRE_PROTECTED,FIREWOOD_WET,-,-
427,REVEAL,RESPONSE,Some Protected Fuel Remains,Search the damp firewood for anything dry enough to burn.,"Most of the exposed wood is damp, but you find a small amount of protected fuel that may still be usable.",FIRE_REBUILD_ATTEMPT,FIREWOOD_WET,-,-
428,REVEAL,RESPONSE,Water Begins Gathering Around the Shelter,Check the ground around the shelter while tightening the supports.,"While securing the shelter, you notice water collecting around the campsite faster than expected.",SHELTER_SECURE_ATTEMPT,FLOODING_RISK,-,-
429,REVEAL,RESPONSE,Rain Starts Reaching the Covered Goods,Inspect the cargo covers again as the rain grows heavier.,"Despite your precautions, water begins working through the cargo protection and threatens the exposed goods.",CARGO_RAIN_PROTECTION,"CARGO_WET_RISK, CARGO_COVER_TORN",-,-
430,RESOLUTION,END,The Animal Retreats After a Standoff,Hold your ground without advancing and wait out the standoff.,"The animal resists for a moment, then finally backs away and disappears beyond the edge of the camp.",ANIMAL_SCARED,-,-,DANGER_AVOIDED
431,START,REACTION,Hunger Keeps You Awake,Acknowledge the hunger and decide what to do.,"Hunger pulls you out of an uneasy rest and refuses to let you settle again. Your stomach tightens painfully, and the thought of the food packed among your supplies becomes harder to ignore as the minutes pass.","CAMP, HUNGER","CAMP, HUNGER",-,-
432,START,REACTION,Thirst Breaks Your Rest,Deal with the thirst before trying to rest again.,"You wake with a dry mouth and a persistent thirst that makes it difficult to rest. The night air offers little relief, and your attention keeps returning to the water you still have or the lack of it.","CAMP, THIRST","CAMP, THIRST",-,-
433,START,REACTION,Exhaustion Catches Up,Stop fighting the exhaustion and assess your condition.,"The strain of the road finally catches up with you. Even at rest your muscles feel heavy, your thoughts come slowly, and the effort of the journey lingers in every movement.","CAMP, EXHAUSTED","CAMP, EXHAUSTED",-,-
434,REACTION,REVEAL,Eat from Your Supplies,Take a small portion of food from your supplies.,You decide that a little food is worth more than another hour of restless hunger.,"CAMP, HUNGER",HUNGER_EATING,-,FOOD_1_LOSS
435,REACTION,REVEAL,Try to Ignore the Hunger,Turn over and try to sleep through the hunger.,You decide not to spend food and try to force yourself back to sleep.,"CAMP, HUNGER",HUNGER_IGNORED,-,-
436,REACTION,REVEAL,Distract Yourself with Camp Chores,Get up and busy yourself with small tasks around camp.,"Rather than eat, you check straps, tidy the fire, and keep your hands occupied.","CAMP, HUNGER",HUNGER_DISTRACTED,-,-
437,REVEAL,RESPONSE,A Small Meal Settles Your Stomach,Eat slowly and wait to see whether it is enough.,The small meal takes the edge off the hunger and your body begins to relax again.,HUNGER_EATING,HUNGER_EASED,-,-
438,REVEAL,RESPONSE,The Hunger Refuses to Fade,Lie still a little longer and see whether the feeling passes.,"Minutes pass, but the hunger only becomes harder to ignore.",HUNGER_IGNORED,HUNGER_PERSISTS,-,-
439,REVEAL,RESPONSE,Keeping Busy Helps for a While,Finish the small chores and see whether your mind settles.,"The work distracts you for a while, though the hunger has not truly gone away.",HUNGER_DISTRACTED,HUNGER_TEMPORARILY_IGNORED,-,-
440,RESPONSE,RESOLUTION,Return to Rest,Settle back down while the hunger is under control.,You return to your bedroll before the discomfort can return.,HUNGER_EASED,HUNGER_REST_RESUMED,-,-
441,RESPONSE,RESOLUTION,Give In and Eat After All,Stop fighting the hunger and take something from your supplies.,You finally decide that conserving the food is not worth losing the rest.,HUNGER_PERSISTS,HUNGER_LATE_EATING,-,FOOD_1_LOSS
442,RESPONSE,RESOLUTION,Keep Yourself Occupied,Stay awake a little longer and keep your hands busy.,You continue working around camp until tiredness begins to overpower the hunger.,HUNGER_TEMPORARILY_IGNORED,HUNGER_STAYED_BUSY,-,-
443,RESOLUTION,END,You Rest More Comfortably,Close your eyes and return to sleep.,"With the hunger eased, you settle back into a more comfortable rest.",HUNGER_REST_RESUMED,-,-,-
444,RESOLUTION,END,A Late Meal Finally Lets You Rest,Finish the small meal and return to bed.,The food finally quiets your stomach enough for sleep to return.,HUNGER_LATE_EATING,-,-,-
445,RESOLUTION,END,The Hunger Costs You Some Rest,Return to bed once you are too tired to keep busy.,"You eventually sleep, but the time spent fighting the hunger leaves the rest less useful than it should have been.",HUNGER_STAYED_BUSY,-,-,TIME_1H_LOSS
446,REACTION,REVEAL,Drink from Your Supplies,Take a measured drink from your water supply.,You decide that a little water is worth more than another hour of restless thirst.,"CAMP, THIRST",THIRST_DRINKING,-,DRINK_1_LOSS
447,REACTION,REVEAL,Try to Conserve the Water,Ignore the dry throat and try to sleep without drinking.,You keep the water stored away and try to rest despite the discomfort.,"CAMP, THIRST",THIRST_IGNORED,-,-
448,REACTION,REVEAL,Step into the Cooler Night Air,Leave the bedroll for a moment and cool down beside the camp.,You step away from the heat of the fire and let the cooler night air settle you.,"CAMP, THIRST",THIRST_COOLING_OFF,-,-
449,REVEAL,RESPONSE,The Water Clears Your Head,Drink slowly and wait for the dryness to fade.,The water eases the thirst and your thoughts become less distracted.,THIRST_DRINKING,THIRST_EASED,-,-
450,REVEAL,RESPONSE,The Thirst Grows Sharper,Wait a little longer and see whether the discomfort passes.,"The dryness only becomes harder to ignore, and sleep feels farther away.",THIRST_IGNORED,THIRST_PERSISTS,-,-
451,REVEAL,RESPONSE,The Cool Air Helps a Little,Stay outside the bedroll until you feel calmer.,"The cooler air offers some relief, though it does not truly satisfy the thirst.",THIRST_COOLING_OFF,THIRST_TEMPORARILY_IGNORED,-,-
452,RESPONSE,RESOLUTION,Return to Rest After Drinking,Settle back down while the thirst is under control.,You return to the bedroll before the discomfort can return.,THIRST_EASED,THIRST_REST_RESUMED,-,-
453,RESPONSE,RESOLUTION,Take a Drink After All,Stop conserving the water and take a drink.,You finally decide that the lost rest is costing more than the water.,THIRST_PERSISTS,THIRST_LATE_DRINK,-,DRINK_1_LOSS
454,RESPONSE,RESOLUTION,Wait for Sleep to Return,Stay in the cool air a little longer before returning to bed.,You remain outside the bedroll until tiredness begins to outweigh the thirst.,THIRST_TEMPORARILY_IGNORED,THIRST_WAITED_OUT,-,-
455,RESOLUTION,END,Sleep Comes Easier,Close your eyes and return to sleep.,"With the thirst eased, you settle into rest again.",THIRST_REST_RESUMED,-,-,-
456,RESOLUTION,END,The Drink Finally Lets You Rest,Finish the drink and return to bed.,The water settles the discomfort enough for sleep to return.,THIRST_LATE_DRINK,-,-,-
457,RESOLUTION,END,The Thirst Costs You Some Rest,Return to bed once you are too tired to stay awake.,"You eventually sleep, but the time spent fighting the thirst leaves the rest less useful than it should have been.",THIRST_WAITED_OUT,-,-,TIME_1H_LOSS
458,REACTION,REVEAL,Give In to the Exhaustion,Stop resisting and let yourself sink into the bedroll.,You decide that nothing around camp matters more than finally resting.,"CAMP, EXHAUSTED",EXHAUSTION_ACCEPTED,-,-
459,REACTION,REVEAL,Check the Camp Before Sleeping,Force yourself up for one final check of the camp.,"Despite the exhaustion, you decide to make sure the fire, cargo, and shelter are secure first.","CAMP, EXHAUSTED",EXHAUSTION_CHECKING_CAMP,-,-
460,REACTION,REVEAL,Sit by the Fire for a Moment,Stay awake by the fire until your thoughts settle.,You sit quietly beside the fire and give yourself a moment to recover before lying down.,"CAMP, EXHAUSTED",EXHAUSTION_PAUSING,-,-
461,REVEAL,RESPONSE,Sleep Takes You Almost Immediately,Let your body relax and stop fighting the fatigue.,"The moment you lie down, the exhaustion pulls you toward deep sleep.",EXHAUSTION_ACCEPTED,EXHAUSTION_DEEP_SLEEP,-,-
462,REVEAL,RESPONSE,Fatigue Makes the Camp Check Difficult,Finish the check even though your attention is fading.,You catch yourself missing small details and moving more slowly than usual.,EXHAUSTION_CHECKING_CAMP,EXHAUSTION_SLOPPY_CHECK,-,-
463,REVEAL,RESPONSE,The Quiet Fire Clears Your Head,Stay beside the fire until you feel steady enough to sleep.,"A few quiet minutes help your thoughts settle, even if your body remains exhausted.",EXHAUSTION_PAUSING,EXHAUSTION_CALMER,-,-
464,RESPONSE,RESOLUTION,Let Yourself Sleep Deeply,Stop resisting and allow the rest to take over.,You stop checking the camp and finally give your body the rest it has been asking for.,EXHAUSTION_DEEP_SLEEP,EXHAUSTION_RESTING,-,-
465,RESPONSE,RESOLUTION,Finish Securing the Camp,Push through the fatigue long enough to secure the most important things.,You use the last of your focus to tighten the cargo and check the shelter before lying down.,EXHAUSTION_SLOPPY_CHECK,EXHAUSTION_CAMP_SECURED,-,-
466,RESPONSE,RESOLUTION,Return to Bed Once You Feel Steadier,Leave the fire and settle down before the fatigue becomes worse.,You decide not to waste the brief calm and return to your bedroll.,EXHAUSTION_CALMER,EXHAUSTION_RETURNED_TO_BED,-,-
467,RESOLUTION,END,Deep Rest Comes Quickly,Close your eyes and let the exhaustion take over.,Sleep comes almost immediately and the camp remains quiet around you.,EXHAUSTION_RESTING,-,-,-
468,RESOLUTION,END,The Extra Check Costs You Time,Lie down once the camp is finally secure.,"The camp is safer, but fighting the exhaustion costs you time that should have been spent resting.",EXHAUSTION_CAMP_SECURED,-,-,TIME_1H_LOSS
469,RESOLUTION,END,You Settle Down After the Pause,Return to sleep while your thoughts are finally calm.,"The brief pause is enough to settle you, and the exhaustion soon carries you into sleep.",EXHAUSTION_RETURNED_TO_BED,-,-,-
470,REVEAL,RESPONSE,The Movement Belongs to a Person,Keep the figure in sight and judge what they are doing.,"Following the disturbance, you catch sight of a person moving where the earlier rustling came from. The movement and the figure are clearly connected.","INVESTIGATING, MOVEMENT_HEARD","HIDDEN_PERSON, HUMAN_CONFIRMED",UNKNOWN_SOURCE,-
471,REVEAL,RESPONSE,The Animal Is Close to Camp,Watch the animal carefully before deciding how to respond.,"Your investigation leads you to the source of the cry: an animal lingering just beyond the camp, alert and watching your movements.","INVESTIGATING, ANIMAL_SOUND","ANIMAL_CONFIRMED, ANIMAL_WATCHING, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
472,REVEAL,RESPONSE,A Thief Breaks from the Cargo,Keep the intruder in sight before they can escape.,"As you investigate the disturbed supplies, a person breaks away from the cargo and tries to slip into the darkness, confirming that someone was searching your goods.","INVESTIGATING, CARGO_DISTURBED, CARGO_PRESENT","HUMAN_CONFIRMED, THEFT_CONFIRMED, THIEF_PRESENT",UNKNOWN_SOURCE,-
473,REVEAL,RESPONSE,The Movement Has a Human Rhythm,Keep listening until you can place the person more precisely.,The rustling settles into the measured rhythm of careful footsteps. Someone is moving around the edge of the camp.,"LISTENING, MOVEMENT_HEARD","HUMAN_CONFIRMED, PERSON_NEARBY",UNKNOWN_SOURCE,-
474,REVEAL,RESPONSE,Torchlight Catches a Human Silhouette,Keep the torch trained on the figure.,The torchlight catches a human silhouette at the edge of the darkness. Whoever was nearby freezes for a moment instead of stepping into the light.,"OBSERVING, HUMAN_POSSIBLE","HIDDEN_PERSON, HUMAN_CONFIRMED",UNKNOWN_SOURCE,-
475,REVEAL,RESPONSE,Torchlight Reveals an Animal,Keep the light on the animal and watch its reaction.,The torchlight finds the source of the animal sounds: a dark shape watching from just beyond the camp.,"OBSERVING, ANIMAL_SOUND","ANIMAL_CONFIRMED, ANIMAL_WATCHING, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
476,REVEAL,RESPONSE,Footprints Lead Toward the Voice,Inspect the direction of the tracks before following them.,"Fresh human footprints lead in the same direction as the voice you heard, tying the cry to someone moving near the camp.","TRACK_SEARCH, VOICE_HEARD","HUMAN_CONFIRMED, HUMAN_TRACKS",UNKNOWN_SOURCE,-
477,REVEAL,RESPONSE,Footprints Follow the Movement,Study where the footprints lead from the disturbed ground.,"Fresh human footprints cross the place where you heard movement and continue into the darkness, confirming that a person caused at least part of the disturbance.","TRACK_SEARCH, MOVEMENT_HEARD","HUMAN_CONFIRMED, HUMAN_TRACKS",UNKNOWN_SOURCE,-
