Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
389,RESOLUTION,END,Alternative Outcome: Offer Food Away from Camp,Follow through with your decision to offer Food Away from Camp.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",ANIMAL_FED,-,-,-
390,RESOLUTION,END,The Animal Reacts Unexpectedly 2,Hold your position and watch how the animal responds.,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_AVOIDED,-,-,-
391,RESOLUTION,END,The Animal Reacts Unexpectedly 3,Hold your position and watch how the animal responds.,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_CARGO_DEFENDED,-,-,-
392,RESOLUTION,END,The Animal Reacts Unexpectedly 4,Hold your position and watch how the animal responds.,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",INJURED_ANIMAL_LEFT,-,-,-
393,RESOLUTION,END,The Animal Reacts Unexpectedly 5,Hold your position and watch how the animal responds.,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_HELD_BY_FIRE,-,-,-
394,RESOLUTION,END,The Animal Reacts Unexpectedly 6,Hold your position and watch how the animal responds.,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_RETREAT_CONFIRMED,-,-,-
395,RESOLUTION,END,The Fire Remains Weak,Rely on the temporary fix and avoid disturbing it further.,"Your attempt helps, but the fire never fully recovers and you continue the night with only limited warmth and light.",FIRE_RESTORED,-,-,TIME_1H_LOSS
396,RESOLUTION,END,Alternative Outcome: Use Reserved Dry Fuel,Hold your ground and let the encounter resolve.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",FIRE_RESTORED,-,-,-
397,RESOLUTION,END,The Fire Remains Weak 2,Rely on the temporary fix and avoid disturbing it further.,"Your attempt helps, but the fire never fully recovers and you continue the night with only limited warmth and light.",FIRE_ABANDONED,-,-,TIME_1H_LOSS
398,RESOLUTION,END,The Repair Barely Holds,Rely on the temporary fix and avoid disturbing it further.,"The repair survives the immediate problem, but only just, leaving the camp less comfortable for the rest of the night.",SHELTER_REPAIRED,-,-,-
399,RESOLUTION,END,Some Cargo Still Needs Attention 4,Secure what you can and accept that some cargo remains exposed.,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_RAIN_SECURED,-,-,CARGO_SMALL_LOSS
400,RESOLUTION,END,Alternative Outcome: Move the Camp to Higher Ground,Follow through with your decision to move the Camp to Higher Ground.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",CAMP_MOVED_HIGHER,-,-,-
401,RESOLUTION,END,The Weather Causes Further Trouble,Keep moving away from the flooded campsite until the immediate weather danger has passed.,"Your response prevents the worst outcome, but the weather still causes additional difficulty before the situation settles.",CAMP_ABANDONED,-,-,CARGO_SMALL_LOSS
402,RESOLUTION,END,The Weather Causes Further Trouble 2,Stay sheltered and wait to see whether the storm causes another problem.,"Your response prevents the worst outcome, but the weather still causes additional difficulty before the situation settles.",STORM_WAITED_OUT,-,-,TIME_1H_LOSS
403,RESOLUTION,END,Some Cargo Still Needs Attention 5,Secure what you can and accept that some cargo remains exposed.,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_COVER_REPAIRED,-,-,CARGO_SMALL_LOSS
404,RESOLUTION,END,The Repair Barely Holds 2,Rely on the temporary fix and avoid disturbing it further.,"The repair survives the immediate problem, but only just, leaving the camp less comfortable for the rest of the night.",SHELTER_TRUSTED,-,-,-
405,RESOLUTION,END,Alternative Outcome: Return to Rest After Finding Nothing,Follow through with your decision to return to Rest After Finding Nothing.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",MYSTERY_ABANDONED,-,-,-
406,RESOLUTION,END,Nothing More Is Revealed,"Wait a little longer, then accept that no clearer answer is coming.","You wait and observe, but the situation gives you no further answer before the night becomes quiet again.",MYSTERY_WAITED,-,-,-
407,RESOLUTION,END,Alternative Outcome: Respect the Warning,Follow through with your decision to respect the Warning.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",WARNING_RESPECTED,-,-,-
408,REVEAL,RESPONSE,The Whispering Continues,Remain by the fire and listen to the whispering.,"You remain beside the fire as the quiet voices continue somewhere beyond the light. After a moment, it becomes clear that more than one person is speaking.","WAITING_AT_FIRE, WHISPERS_HEARD","HUMAN_CONFIRMED, MULTIPLE_PEOPLE",UNKNOWN_SOURCE,-
409,REVEAL,RESPONSE,The Voices Suddenly Stop,Stay by the fire and listen for any sign that the voices are still nearby.,"You wait beside the fire, but the whispering abruptly stops. No one approaches, and the darkness around the camp becomes quiet again.","WAITING_AT_FIRE, WHISPERS_HEARD","NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
410,REVEAL,RESPONSE,A Figure Moves Closer to the Firelight,Stay in the firelight and watch the nearby figure.,"After several tense moments, a lone figure moves closer to the camp but stops just beyond the edge of the firelight.","WAITING_AT_FIRE, HUMAN_POSSIBLE","HUMAN_CONFIRMED, PERSON_NEARBY",UNKNOWN_SOURCE,-
411,REVEAL,RESPONSE,Movement Circles Beyond the Firelight,Track the movement from beside the fire.,"You stay beside the fire and wait. After a while, faint movement circles beyond the light without coming any closer.","WAITING_AT_FIRE, MOVEMENT_HEARD","NO_SOURCE_FOUND, SOURCE_FLED_POSSIBLE",UNKNOWN_SOURCE,-
412,REVEAL,RESPONSE,Another Cry Comes from the Darkness,Stay put and listen for the voice again.,"You remain beside the fire until another distant cry carries through the night, confirming that someone or something is still out there.","WAITING_AT_FIRE, VOICE_HEARD","DISTRESS_CONFIRMED, VOICE_LOCATED",UNKNOWN_SOURCE,-
413,REVEAL,RESPONSE,The Fire Sinks to Embers,Keep waiting while watching the weakening fire.,You stay beside the fire and watch the weak flames sink lower until only a bed of glowing embers remains.,"WAITING_AT_FIRE, FIRE_LOW",EMBERS_USABLE,-,-
414,REVEAL,RESPONSE,The Strange Light Reappears,Watch for the strange light to appear again.,"You remain beside the fire, and after a tense wait the distant light appears again between the trees.","WAITING_AT_FIRE, LIGHT_SEEN",LIGHT_SIGNAL_RETURNED,UNKNOWN_SOURCE,-
415,REVEAL,RESPONSE,An Animal Lingers Beyond the Camp,Keep watch for the animal from the camp.,"You stay beside the fire until a shape moves at the edge of the darkness, revealing that an animal has remained nearby.","WAITING_AT_FIRE, ANIMAL_SOUND","ANIMAL_CONFIRMED, ANIMAL_WATCHING",UNKNOWN_SOURCE,-
416,REVEAL,RESPONSE,Nothing Comes Closer to the Fire,Wait a little longer beside the fire.,"You remain beside the fire and wait, but whatever disturbed the night never comes close enough to reveal itself.",WAITING_AT_FIRE,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
417,REVEAL,RESPONSE,The Torch Reveals No Clear Source,Sweep the torchlight over the area once more.,"The torchlight reaches across the nearby ground, but nothing obvious remains within sight.",TORCH_LIT,NO_SOURCE_FOUND,UNKNOWN_SOURCE,-
418,REVEAL,RESPONSE,No Second Cry Comes,Keep listening for another cry before deciding the voice is gone.,"You listen carefully for another call, but the night stays silent and gives you no clearer direction.",LISTENING_FOR_VOICE,"NO_SOURCE_FOUND, SILENCE",-,-
419,REVEAL,RESPONSE,The Footsteps Do Not Return,Wait quietly for the footsteps to return.,"You wait for the footsteps to begin again, but the area around the camp becomes completely still.",LISTENING_FOR_FOOTSTEPS,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
420,REVEAL,RESPONSE,No Signal Answers Your Torch,Hold the torch signal a little longer and watch for an answer.,"You hold the torch high and wait, but no light answers from the darkness.",SIGNALLED_LIGHT,"NO_SOURCE_FOUND, SILENCE",-,-
421,REVEAL,RESPONSE,The Distant Light Fades Away,Keep watching the distant light until it disappears from view.,You watch from the safety of the camp until the distant light slowly disappears between the trees.,OBSERVING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",UNKNOWN_SOURCE,-
422,REVEAL,RESPONSE,Nothing Approaches the Guarded Cargo,Keep guarding the cargo and wait.,"You keep watch over the supplies, but no one comes close enough to threaten the cargo again.",CARGO_GUARDED,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE,-
423,REVEAL,RESPONSE,A Lone Animal Moves Near the Camp,Stay still and watch the lone animal at the edge of the camp.,A single shape moves through the darkness near the camp before hesitating at the edge of the firelight.,ANIMAL_LISTENING,"ANIMAL_CONFIRMED, ANIMAL_WATCHING",UNKNOWN_SOURCE,-
424,REVEAL,RESPONSE,The Animal Holds Its Ground,Keep making noise and watch whether the animal retreats or stands its ground.,"The noise makes the animal pause, but instead of fleeing it remains just beyond the firelight.",ANIMAL_SCARE_ATTEMPT,"ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE,-
425,REVEAL,RESPONSE,A Larger Animal Finds the Bait,Stay back and watch what approaches the bait.,"Movement approaches the food, but the shape that emerges is larger than you expected.",ANIMAL_BAIT_SET,"ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE,-
426,REVEAL,RESPONSE,The Remaining Fuel Is Soaked,Check whether any usable fuel remains after protecting the embers.,"You protect the last heat from the wind, but most of the nearby fuel has already become too wet to burn easily.",FIRE_PROTECTED,FIREWOOD_WET,-,-
427,REVEAL,RESPONSE,Some Protected Fuel Remains,Search the damp firewood for anything dry enough to burn.,"Most of the exposed wood is damp, but you find a small amount of protected fuel that may still be usable.",FIRE_REBUILD_ATTEMPT,FIREWOOD_WET,-,-
428,REVEAL,RESPONSE,Water Begins Gathering Around the Shelter,Check the ground around the shelter while tightening the supports.,"While securing the shelter, you notice water collecting around the campsite faster than expected.",SHELTER_SECURE_ATTEMPT,FLOODING_RISK,-,-
429,REVEAL,RESPONSE,Rain Starts Reaching the Covered Goods,Inspect the cargo covers again as the rain grows heavier.,"Despite your precautions, water begins working through the cargo protection and threatens the exposed goods.",CARGO_RAIN_PROTECTION,"CARGO_WET_RISK, CARGO_COVER_TORN",-,-
430,RESOLUTION,END,The Animal Retreats After a Standoff,Hold your ground without advancing and wait out the standoff.,"The animal resists for a moment, then finally backs away and disappears beyond the edge of the camp.",ANIMAL_SCARED,-,-,DANGER_AVOIDED
431,START,REACTION,Hunger Keeps You Awake,Acknowledge the hunger and decide what to do.,"Hunger pulls you out of an uneasy rest and refuses to let you settle again. Your stomach tightens painfully, and the thought of the food packed among your supplies becomes harder to ignore as the minutes pass.","CAMP, HUNGER","CAMP, HUNGER",-,-
432,START,REACTION,Thirst Breaks Your Rest,Deal with the thirst before trying to rest again.,"You wake with a dry mouth and a persistent thirst that makes it difficult to rest. The night air offers little relief, and your attention keeps returning to the water you still have or the lack of it.","CAMP, THIRST","CAMP, THIRST",-,-
433,START,REACTION,Exhaustion Catches Up,Stop fighting the exhaustion and assess your condition.,"The strain of the road finally catches up with you. Even at rest your muscles feel heavy, your thoughts come slowly, and the effort of the journey lingers in every movement.","CAMP, EXHAUSTED","CAMP, EXHAUSTED",-,-
434,REACTION,REVEAL,Eat from Your Supplies,Take a small portion of food from your supplies.,You decide that a little food is worth more than another hour of restless hunger.,"CAMP, HUNGER",HUNGER_EATING,-,FOOD_1_LOSS
435,REACTION,REVEAL,Try to Ignore the Hunger,Turn over and try to sleep through the hunger.,You decide not to spend food and try to force yourself back to sleep.,"CAMP, HUNGER",HUNGER_IGNORED,-,-
436,REACTION,REVEAL,Distract Yourself with Camp Chores,Get up and busy yourself with small tasks around camp.,"Rather than eat, you check straps, tidy the fire, and keep your hands occupied.","CAMP, HUNGER",HUNGER_DISTRACTED,-,-
437,REVEAL,RESPONSE,A Small Meal Settles Your Stomach,Eat slowly and wait to see whether it is enough.,The small meal takes the edge off the hunger and your body begins to relax again.,HUNGER_EATING,HUNGER_EASED,-,-
438,REVEAL,RESPONSE,The Hunger Refuses to Fade,Lie still a little longer and see whether the feeling passes.,"Minutes pass, but the hunger only becomes harder to ignore.",HUNGER_IGNORED,HUNGER_PERSISTS,-,-
439,REVEAL,RESPONSE,Keeping Busy Helps for a While,Finish the small chores and see whether your mind settles.,"The work distracts you for a while, though the hunger has not truly gone away.",HUNGER_DISTRACTED,HUNGER_TEMPORARILY_IGNORED,-,-
440,RESPONSE,RESOLUTION,Return to Rest,Settle back down while the hunger is under control.,You return to your bedroll before the discomfort can return.,HUNGER_EASED,HUNGER_REST_RESUMED,-,-
441,RESPONSE,RESOLUTION,Give In and Eat After All,Stop fighting the hunger and take something from your supplies.,You finally decide that conserving the food is not worth losing the rest.,HUNGER_PERSISTS,HUNGER_LATE_EATING,-,FOOD_1_LOSS
442,RESPONSE,RESOLUTION,Keep Yourself Occupied,Stay awake a little longer and keep your hands busy.,You continue working around camp until tiredness begins to overpower the hunger.,HUNGER_TEMPORARILY_IGNORED,HUNGER_STAYED_BUSY,-,-
443,RESOLUTION,END,You Rest More Comfortably,Close your eyes and return to sleep.,"With the hunger eased, you settle back into a more comfortable rest.",HUNGER_REST_RESUMED,-,-,-
444,RESOLUTION,END,A Late Meal Finally Lets You Rest,Finish the small meal and return to bed.,The food finally quiets your stomach enough for sleep to return.,HUNGER_LATE_EATING,-,-,-
445,RESOLUTION,END,The Hunger Costs You Some Rest,Return to bed once you are too tired to keep busy.,"You eventually sleep, but the time spent fighting the hunger leaves the rest less useful than it should have been.",HUNGER_STAYED_BUSY,-,-,TIME_1H_LOSS
446,REACTION,REVEAL,Drink from Your Supplies,Take a measured drink from your water supply.,You decide that a little water is worth more than another hour of restless thirst.,"CAMP, THIRST",THIRST_DRINKING,-,DRINK_1_LOSS
447,REACTION,REVEAL,Try to Conserve the Water,Ignore the dry throat and try to sleep without drinking.,You keep the water stored away and try to rest despite the discomfort.,"CAMP, THIRST",THIRST_IGNORED,-,-
448,REACTION,REVEAL,Step into the Cooler Night Air,Leave the bedroll for a moment and cool down beside the camp.,You step away from the heat of the fire and let the cooler night air settle you.,"CAMP, THIRST",THIRST_COOLING_OFF,-,-
449,REVEAL,RESPONSE,The Water Clears Your Head,Drink slowly and wait for the dryness to fade.,The water eases the thirst and your thoughts become less distracted.,THIRST_DRINKING,THIRST_EASED,-,-
450,REVEAL,RESPONSE,The Thirst Grows Sharper,Wait a little longer and see whether the discomfort passes.,"The dryness only becomes harder to ignore, and sleep feels farther away.",THIRST_IGNORED,THIRST_PERSISTS,-,-
451,REVEAL,RESPONSE,The Cool Air Helps a Little,Stay outside the bedroll until you feel calmer.,"The cooler air offers some relief, though it does not truly satisfy the thirst.",THIRST_COOLING_OFF,THIRST_TEMPORARILY_IGNORED,-,-
452,RESPONSE,RESOLUTION,Return to Rest After Drinking,Settle back down while the thirst is under control.,You return to the bedroll before the discomfort can return.,THIRST_EASED,THIRST_REST_RESUMED,-,-
453,RESPONSE,RESOLUTION,Take a Drink After All,Stop conserving the water and take a drink.,You finally decide that the lost rest is costing more than the water.,THIRST_PERSISTS,THIRST_LATE_DRINK,-,DRINK_1_LOSS
454,RESPONSE,RESOLUTION,Wait for Sleep to Return,Stay in the cool air a little longer before returning to bed.,You remain outside the bedroll until tiredness begins to outweigh the thirst.,THIRST_TEMPORARILY_IGNORED,THIRST_WAITED_OUT,-,-
455,RESOLUTION,END,Sleep Comes Easier,Close your eyes and return to sleep.,"With the thirst eased, you settle into rest again.",THIRST_REST_RESUMED,-,-,-
456,RESOLUTION,END,The Drink Finally Lets You Rest,Finish the drink and return to bed.,The water settles the discomfort enough for sleep to return.,THIRST_LATE_DRINK,-,-,-
457,RESOLUTION,END,The Thirst Costs You Some Rest,Return to bed once you are too tired to stay awake.,"You eventually sleep, but the time spent fighting the thirst leaves the rest less useful than it should have been.",THIRST_WAITED_OUT,-,-,TIME_1H_LOSS
458,REACTION,REVEAL,Give In to the Exhaustion,Stop resisting and let yourself sink into the bedroll.,You decide that nothing around camp matters more than finally resting.,"CAMP, EXHAUSTED",EXHAUSTION_ACCEPTED,-,-
459,REACTION,REVEAL,Check the Camp Before Sleeping,Force yourself up for one final check of the camp.,"Despite the exhaustion, you decide to make sure the fire, cargo, and shelter are secure first.","CAMP, EXHAUSTED",EXHAUSTION_CHECKING_CAMP,-,-
460,REACTION,REVEAL,Sit by the Fire for a Moment,Stay awake by the fire until your thoughts settle.,You sit quietly beside the fire and give yourself a moment to recover before lying down.,"CAMP, EXHAUSTED",EXHAUSTION_PAUSING,-,-
461,REVEAL,RESPONSE,Sleep Takes You Almost Immediately,Let your body relax and stop fighting the fatigue.,"The moment you lie down, the exhaustion pulls you toward deep sleep.",EXHAUSTION_ACCEPTED,EXHAUSTION_DEEP_SLEEP,-,-
462,REVEAL,RESPONSE,Fatigue Makes the Camp Check Difficult,Finish the check even though your attention is fading.,You catch yourself missing small details and moving more slowly than usual.,EXHAUSTION_CHECKING_CAMP,EXHAUSTION_SLOPPY_CHECK,-,-
463,REVEAL,RESPONSE,The Quiet Fire Clears Your Head,Stay beside the fire until you feel steady enough to sleep.,"A few quiet minutes help your thoughts settle, even if your body remains exhausted.",EXHAUSTION_PAUSING,EXHAUSTION_CALMER,-,-
464,RESPONSE,RESOLUTION,Let Yourself Sleep Deeply,Stop resisting and allow the rest to take over.,You stop checking the camp and finally give your body the rest it has been asking for.,EXHAUSTION_DEEP_SLEEP,EXHAUSTION_RESTING,-,-
465,RESPONSE,RESOLUTION,Finish Securing the Camp,Push through the fatigue long enough to secure the most important things.,You use the last of your focus to tighten the cargo and check the shelter before lying down.,EXHAUSTION_SLOPPY_CHECK,EXHAUSTION_CAMP_SECURED,-,-
466,RESPONSE,RESOLUTION,Return to Bed Once You Feel Steadier,Leave the fire and settle down before the fatigue becomes worse.,You decide not to waste the brief calm and return to your bedroll.,EXHAUSTION_CALMER,EXHAUSTION_RETURNED_TO_BED,-,-
467,RESOLUTION,END,Deep Rest Comes Quickly,Close your eyes and let the exhaustion take over.,Sleep comes almost immediately and the camp remains quiet around you.,EXHAUSTION_RESTING,-,-,-
468,RESOLUTION,END,The Extra Check Costs You Time,Lie down once the camp is finally secure.,"The camp is safer, but fighting the exhaustion costs you time that should have been spent resting.",EXHAUSTION_CAMP_SECURED,-,-,TIME_1H_LOSS
469,RESOLUTION,END,You Settle Down After the Pause,Return to sleep while your thoughts are finally calm.,"The brief pause is enough to settle you, and the exhaustion soon carries you into sleep.",EXHAUSTION_RETURNED_TO_BED,-,-,-
